,Ngram,Sense[Phone],Sense[Product],yarowsky_score,abs_val_yar_score,sense_decision
144,abex,1,2,-0.6931471805599453,0.6931471805599453,product
112,abus,2,1,0.6931471805599453,0.6931471805599453,phone
33,accommod,2,1,0.6931471805599453,0.6931471805599453,phone
155,acquir,1,2,-0.6931471805599453,0.6931471805599453,product
74,ad,2,7,-1.252762968495368,1.252762968495368,product
171,adult,1,2,-0.6931471805599453,0.6931471805599453,product
214,agricult,1,2,-0.6931471805599453,0.6931471805599453,product
149,along,1,2,-0.6931471805599453,0.6931471805599453,product
244,already,1,2,-0.6931471805599453,0.6931471805599453,product
128,also,1,3,-1.0986122886681098,1.0986122886681098,product
240,although,1,2,-0.6931471805599453,0.6931471805599453,product
127,am,1,3,-1.0986122886681098,1.0986122886681098,product
245,amp,1,2,-0.6931471805599453,0.6931471805599453,product
165,annount,1,2,-0.6931471805599453,0.6931471805599453,product
73,anoth,2,1,0.6931471805599453,0.6931471805599453,phone
38,answ,2,1,0.6931471805599453,0.6931471805599453,phone
126,apparel,1,3,-1.0986122886681098,1.0986122886681098,product
82,apply,2,1,0.6931471805599453,0.6931471805599453,phone
147,arm,1,2,-0.6931471805599453,0.6931471805599453,product
12,ask,3,1,1.0986122886681098,1.0986122886681098,phone
185,athlet,1,2,-0.6931471805599453,0.6931471805599453,product
89,bank,2,1,0.6931471805599453,0.6931471805599453,phone
224,bas,1,2,-0.6931471805599453,0.6931471805599453,product
175,bear,1,2,-0.6931471805599453,0.6931471805599453,product
161,best,1,2,-0.6931471805599453,0.6931471805599453,product
252,bet,1,2,-0.6931471805599453,0.6931471805599453,product
22,boom,2,1,0.6931471805599453,0.6931471805599453,phone
208,build,1,2,-0.6931471805599453,0.6931471805599453,product
166,built,1,2,-0.6931471805599453,0.6931471805599453,product
114,busy,2,1,0.6931471805599453,0.6931471805599453,phone
2,cal,8,1,2.0794415416798357,2.0794415416798357,phone
4,cam,5,1,1.6094379124341003,1.6094379124341003,phone
182,campbel,1,2,-0.6931471805599453,0.6931471805599453,product
237,capac,1,2,-0.6931471805599453,0.6931471805599453,product
125,car,1,3,-1.0986122886681098,1.0986122886681098,product
135,certain,1,2,-0.6931471805599453,0.6931471805599453,product
206,chevrolet,1,2,-0.6931471805599453,0.6931471805599453,product
221,chick,1,2,-0.6931471805599453,0.6931471805599453,product
192,cho,1,2,-0.6931471805599453,0.6931471805599453,product
19,clog,3,1,1.0986122886681098,1.0986122886681098,phone
190,club,1,2,-0.6931471805599453,0.6931471805599453,product
105,commot,2,1,0.6931471805599453,0.6931471805599453,phone
120,company,1,4,-1.3862943611198906,1.3862943611198906,product
184,complet,1,2,-0.6931471805599453,0.6931471805599453,product
80,comput,2,1,0.6931471805599453,0.6931471805599453,phone
109,concern,2,1,0.6931471805599453,0.6931471805599453,phone
69,connect,2,1,0.6931471805599453,0.6931471805599453,phone
178,consid,1,2,-0.6931471805599453,0.6931471805599453,product
97,consum,2,7,-1.252762968495368,1.252762968495368,product
177,cooky,1,2,-0.6931471805599453,0.6931471805599453,product
174,corp,1,2,-0.6931471805599453,0.6931471805599453,product
129,cur,1,3,-1.0986122886681098,1.0986122886681098,product
9,custom,4,7,-0.5596157879354228,0.5596157879354228,product
52,day,2,1,0.6931471805599453,0.6931471805599453,phone
61,dead,2,1,0.6931471805599453,0.6931471805599453,phone
15,ded,3,1,1.0986122886681098,1.0986122886681098,phone
148,demand,1,2,-0.6931471805599453,0.6931471805599453,product
27,dial,2,1,0.6931471805599453,0.6931471805599453,phone
216,diff,1,2,-0.6931471805599453,0.6931471805599453,product
241,digit,1,2,-0.6931471805599453,0.6931471805599453,product
55,direct,2,1,0.6931471805599453,0.6931471805599453,phone
197,discontinu,1,2,-0.6931471805599453,0.6931471805599453,product
26,dist,2,1,0.6931471805599453,0.6931471805599453,phone
139,distinct,1,2,-0.6931471805599453,0.6931471805599453,product
81,docu,2,1,0.6931471805599453,0.6931471805599453,phone
53,doz,2,1,0.6931471805599453,0.6931471805599453,phone
217,dr,1,2,-0.6931471805599453,0.6931471805599453,product
236,dril,1,2,-0.6931471805599453,0.6931471805599453,product
21,end,3,7,-0.8472978603872037,0.8472978603872037,product
202,endors,1,2,-0.6931471805599453,0.6931471805599453,product
25,enough,2,1,0.6931471805599453,0.6931471805599453,phone
242,est,1,2,-0.6931471805599453,0.6931471805599453,product
247,ex,1,2,-0.6931471805599453,0.6931471805599453,product
181,excav,1,2,-0.6931471805599453,0.6931471805599453,product
151,extend,1,2,-0.6931471805599453,0.6931471805599453,product
67,fee,2,1,0.6931471805599453,0.6931471805599453,phone
153,firm,1,2,-0.6931471805599453,0.6931471805599453,product
42,fix,2,1,0.6931471805599453,0.6931471805599453,phone
60,foley,2,1,0.6931471805599453,0.6931471805599453,phone
91,foreign,2,1,0.6931471805599453,0.6931471805599453,phone
44,four,2,1,0.6931471805599453,0.6931471805599453,phone
7,fre,4,1,1.3862943611198906,1.3862943611198906,phone
102,friday,2,1,0.6931471805599453,0.6931471805599453,phone
142,froz,1,2,-0.6931471805599453,0.6931471805599453,product
101,fury,2,1,0.6931471805599453,0.6931471805599453,phone
28,gambon,2,1,0.6931471805599453,0.6931471805599453,phone
116,gav,2,1,0.6931471805599453,0.6931471805599453,phone
90,get,2,1,0.6931471805599453,0.6931471805599453,phone
213,girl,1,2,-0.6931471805599453,0.6931471805599453,product
246,going,1,2,-0.6931471805599453,0.6931471805599453,product
50,got,2,1,0.6931471805599453,0.6931471805599453,phone
232,grad,1,2,-0.6931471805599453,0.6931471805599453,product
173,grand,1,2,-0.6931471805599453,0.6931471805599453,product
248,ground,1,2,-0.6931471805599453,0.6931471805599453,product
131,grow,1,3,-1.0986122886681098,1.0986122886681098,product
93,handl,2,1,0.6931471805599453,0.6931471805599453,phone
218,hasbro,1,2,-0.6931471805599453,0.6931471805599453,product
234,heal,1,2,-0.6931471805599453,0.6931471805599453,product
179,hollywood,1,2,-0.6931471805599453,0.6931471805599453,product
64,horoscop,2,1,0.6931471805599453,0.6931471805599453,phone
119,ibm,1,6,-1.791759469228055,1.791759469228055,product
195,ii,1,2,-0.6931471805599453,0.6931471805599453,product
150,illust,1,2,-0.6931471805599453,0.6931471805599453,product
29,impress,2,1,0.6931471805599453,0.6931471805599453,phone
85,includ,2,1,0.6931471805599453,0.6931471805599453,phone
17,increas,3,1,1.0986122886681098,1.0986122886681098,phone
239,init,1,2,-0.6931471805599453,0.6931471805599453,product
65,instal,2,1,0.6931471805599453,0.6931471805599453,phone
118,int,1,6,-1.791759469228055,1.791759469228055,product
159,interest,1,2,-0.6931471805599453,0.6931471805599453,product
75,interfac,2,1,0.6931471805599453,0.6931471805599453,phone
117,introduc,1,7,-1.9459101490553135,1.9459101490553135,product
141,jaclyn,1,2,-0.6931471805599453,0.6931471805599453,product
103,jazz,2,1,0.6931471805599453,0.6931471805599453,phone
211,joe,1,2,-0.6931471805599453,0.6931471805599453,product
198,joint,1,2,-0.6931471805599453,0.6931471805599453,product
59,keep,2,1,0.6931471805599453,0.6931471805599453,phone
220,kram,1,2,-0.6931471805599453,0.6931471805599453,product
189,lack,1,2,-0.6931471805599453,0.6931471805599453,product
31,largest,2,1,0.6931471805599453,0.6931471805599453,phone
14,lat,3,1,1.0986122886681098,1.0986122886681098,phone
250,level,1,2,-0.6931471805599453,0.6931471805599453,product
56,lik,2,1,0.6931471805599453,0.6931471805599453,phone
79,liv,2,1,0.6931471805599453,0.6931471805599453,phone
223,long,1,2,-0.6931471805599453,0.6931471805599453,product
205,look,1,2,-0.6931471805599453,0.6931471805599453,product
219,lucr,1,2,-0.6931471805599453,0.6931471805599453,product
124,luxury,1,3,-1.0986122886681098,1.0986122886681098,product
145,mad,1,2,-0.6931471805599453,0.6931471805599453,product
229,main,1,2,-0.6931471805599453,0.6931471805599453,product
207,mak,1,2,-0.6931471805599453,0.6931471805599453,product
16,man,3,1,1.0986122886681098,1.0986122886681098,phone
169,manufact,1,2,-0.6931471805599453,0.6931471805599453,product
99,many,2,1,0.6931471805599453,0.6931471805599453,phone
30,may,2,1,0.6931471805599453,0.6931471805599453,phone
66,meanwhil,2,1,0.6931471805599453,0.6931471805599453,phone
34,megaquest,2,1,0.6931471805599453,0.6931471805599453,phone
162,merchand,1,2,-0.6931471805599453,0.6931471805599453,product
39,merlin,2,1,0.6931471805599453,0.6931471805599453,phone
72,mess,2,1,0.6931471805599453,0.6931471805599453,phone
98,middl,2,1,0.6931471805599453,0.6931471805599453,phone
183,midrang,1,2,-0.6931471805599453,0.6931471805599453,product
47,might,2,1,0.6931471805599453,0.6931471805599453,phone
94,mil,2,1,0.6931471805599453,0.6931471805599453,phone
167,min,1,2,-0.6931471805599453,0.6931471805599453,product
193,mir,1,2,-0.6931471805599453,0.6931471805599453,product
158,montan,1,2,-0.6931471805599453,0.6931471805599453,product
172,most,1,2,-0.6931471805599453,0.6931471805599453,product
203,motel,1,2,-0.6931471805599453,0.6931471805599453,product
45,mov,2,1,0.6931471805599453,0.6931471805599453,phone
130,much,1,3,-1.0986122886681098,1.0986122886681098,product
164,nabisco,1,2,-0.6931471805599453,0.6931471805599453,product
225,nail,1,2,-0.6931471805599453,0.6931471805599453,product
238,nat,1,2,-0.6931471805599453,0.6931471805599453,product
36,necess,2,1,0.6931471805599453,0.6931471805599453,phone
143,nee,1,2,-0.6931471805599453,0.6931471805599453,product
215,neg,1,2,-0.6931471805599453,0.6931471805599453,product
1,new,9,4,0.8109302162163288,0.8109302162163288,phone
137,non,1,2,-0.6931471805599453,0.6931471805599453,product
83,numb,2,7,-1.252762968495368,1.252762968495368,product
87,oc,2,1,0.6931471805599453,0.6931471805599453,phone
70,off,2,7,-1.252762968495368,1.252762968495368,product
71,oft,2,1,0.6931471805599453,0.6931471805599453,phone
230,oh,1,2,-0.6931471805599453,0.6931471805599453,product
108,on,2,7,-1.252762968495368,1.252762968495368,product
8,op,4,1,1.3862943611198906,1.3862943611198906,phone
191,output,1,2,-0.6931471805599453,0.6931471805599453,product
180,patch,1,2,-0.6931471805599453,0.6931471805599453,product
106,paty,2,1,0.6931471805599453,0.6931471805599453,phone
43,pay,2,1,0.6931471805599453,0.6931471805599453,phone
156,pc,1,2,-0.6931471805599453,0.6931471805599453,product
233,person,1,2,-0.6931471805599453,0.6931471805599453,product
13,phon,3,1,1.0986122886681098,1.0986122886681098,phone
113,pict,2,1,0.6931471805599453,0.6931471805599453,phone
200,plan,1,2,-0.6931471805599453,0.6931471805599453,product
228,playmobl,1,2,-0.6931471805599453,0.6931471805599453,product
88,poorest,2,1,0.6931471805599453,0.6931471805599453,phone
154,popul,1,2,-0.6931471805599453,0.6931471805599453,product
57,pow,2,1,0.6931471805599453,0.6931471805599453,phone
231,prat,1,2,-0.6931471805599453,0.6931471805599453,product
249,press,1,2,-0.6931471805599453,0.6931471805599453,product
5,priv,4,1,1.3862943611198906,1.3862943611198906,phone
157,profit,1,2,-0.6931471805599453,0.6931471805599453,product
212,promot,1,2,-0.6931471805599453,0.6931471805599453,product
68,pron,2,1,0.6931471805599453,0.6931471805599453,phone
48,provid,2,1,0.6931471805599453,0.6931471805599453,phone
134,ps,1,2,-0.6931471805599453,0.6931471805599453,product
54,put,2,1,0.6931471805599453,0.6931471805599453,phone
146,r,1,2,-0.6931471805599453,0.6931471805599453,product
138,rail,1,2,-0.6931471805599453,0.6931471805599453,product
133,rang,1,2,-0.6931471805599453,0.6931471805599453,product
243,reason,1,2,-0.6931471805599453,0.6931471805599453,product
121,rec,1,4,-1.3862943611198906,1.3862943611198906,product
199,rel,1,2,-0.6931471805599453,0.6931471805599453,product
235,remaind,1,2,-0.6931471805599453,0.6931471805599453,product
115,rent,2,1,0.6931471805599453,0.6931471805599453,phone
160,reorg,1,2,-0.6931471805599453,0.6931471805599453,product
11,resid,3,1,1.0986122886681098,1.0986122886681098,phone
78,run,2,1,0.6931471805599453,0.6931471805599453,phone
163,rush,1,2,-0.6931471805599453,0.6931471805599453,product
20,said,3,7,-0.8472978603872037,0.8472978603872037,product
122,sal,1,3,-1.0986122886681098,1.0986122886681098,product
111,sarah,2,1,0.6931471805599453,0.6931471805599453,phone
96,say,2,1,0.6931471805599453,0.6931471805599453,phone
41,scal,2,1,0.6931471805599453,0.6931471805599453,phone
187,scarc,1,2,-0.6931471805599453,0.6931471805599453,product
92,sec,2,1,0.6931471805599453,0.6931471805599453,phone
168,seek,1,2,-0.6931471805599453,0.6931471805599453,product
100,sel,2,6,-1.0986122886681098,1.0986122886681098,product
18,serv,3,1,1.0986122886681098,1.0986122886681098,phone
136,show,1,2,-0.6931471805599453,0.6931471805599453,product
84,sil,2,1,0.6931471805599453,0.6931471805599453,phone
77,sinclair,2,1,0.6931471805599453,0.6931471805599453,phone
227,six,1,2,-0.6931471805599453,0.6931471805599453,product
123,skin,1,3,-1.0986122886681098,1.0986122886681098,product
32,sleep,2,1,0.6931471805599453,0.6931471805599453,phone
204,soft,1,2,-0.6931471805599453,0.6931471805599453,product
23,sold,2,1,0.6931471805599453,0.6931471805599453,phone
170,sourc,1,2,-0.6931471805599453,0.6931471805599453,product
49,spec,2,1,0.6931471805599453,0.6931471805599453,phone
209,special,1,2,-0.6931471805599453,0.6931471805599453,product
40,spok,2,1,0.6931471805599453,0.6931471805599453,phone
0,startlineAdded,19,3,1.8458266904983307,1.8458266904983307,phone
86,stop,2,1,0.6931471805599453,0.6931471805599453,phone
251,sturdy,1,2,-0.6931471805599453,0.6931471805599453,product
104,synchron,2,1,0.6931471805599453,0.6931471805599453,phone
76,system,2,7,-1.252762968495368,1.252762968495368,product
95,tak,2,1,0.6931471805599453,0.6931471805599453,phone
46,talk,2,1,0.6931471805599453,0.6931471805599453,phone
186,technolog,1,2,-0.6931471805599453,0.6931471805599453,product
3,telephon,8,1,2.0794415416798357,2.0794415416798357,phone
226,test,1,2,-0.6931471805599453,0.6931471805599453,product
140,thomson,1,2,-0.6931471805599453,0.6931471805599453,product
10,thousand,3,1,1.0986122886681098,1.0986122886681098,phone
110,three,2,1,0.6931471805599453,0.6931471805599453,phone
176,thunderbird,1,2,-0.6931471805599453,0.6931471805599453,product
194,tim,1,2,-0.6931471805599453,0.6931471805599453,product
37,tol,2,1,0.6931471805599453,0.6931471805599453,phone
51,tot,2,7,-1.252762968495368,1.252762968495368,product
188,tow,1,2,-0.6931471805599453,0.6931471805599453,product
210,turn,1,2,-0.6931471805599453,0.6931471805599453,product
196,two,1,2,-0.6931471805599453,0.6931471805599453,product
24,u,2,1,0.6931471805599453,0.6931471805599453,phone
201,upsc,1,2,-0.6931471805599453,0.6931471805599453,product
63,us,2,1,0.6931471805599453,0.6931471805599453,phone
58,van,2,1,0.6931471805599453,0.6931471805599453,phone
222,vert,1,2,-0.6931471805599453,0.6931471805599453,product
6,voic,4,1,1.3862943611198906,1.3862943611198906,phone
152,volum,1,2,-0.6931471805599453,0.6931471805599453,product
132,want,1,2,-0.6931471805599453,0.6931471805599453,product
107,x,2,1,0.6931471805599453,0.6931471805599453,phone
62,year,2,7,-1.252762968495368,1.252762968495368,product
35,york,2,1,0.6931471805599453,0.6931471805599453,phone
