,Ngram,Sense[Phone],Sense[Product],yarowsky_score,abs_val_yar_score,sense_decision
176,abex corp,1,2,-0.6931471805599453,0.6931471805599453,product
145,abus sex,2,1,0.6931471805599453,0.6931471805599453,phone
28,accommod many,2,1,0.6931471805599453,0.6931471805599453,phone
190,acquir food,1,2,-0.6931471805599453,0.6931471805599453,product
94,ad import,2,1,0.6931471805599453,0.6931471805599453,phone
202,ad not,1,2,-0.6931471805599453,0.6931471805599453,product
220,adult diap,1,2,-0.6931471805599453,0.6931471805599453,product
281,agricult machinery,1,2,-0.6931471805599453,0.6931471805599453,product
182,along new,1,2,-0.6931471805599453,0.6931471805599453,product
321,already hug,1,2,-0.6931471805599453,0.6931471805599453,product
208,also launch,1,2,-0.6931471805599453,0.6931471805599453,product
290,also market,1,2,-0.6931471805599453,0.6931471805599453,product
315,although vax,1,2,-0.6931471805599453,0.6931471805599453,product
194,am brand,1,2,-0.6931471805599453,0.6931471805599453,product
233,am tir,1,2,-0.6931471805599453,0.6931471805599453,product
322,amp marx,1,2,-0.6931471805599453,0.6931471805599453,product
206,annount new,1,2,-0.6931471805599453,0.6931471805599453,product
93,anoth telephon,2,1,0.6931471805599453,0.6931471805599453,phone
35,answ trad,2,1,0.6931471805599453,0.6931471805599453,phone
312,apparel busy,1,2,-0.6931471805599453,0.6931471805599453,product
186,apparel company,1,2,-0.6931471805599453,0.6931471805599453,product
103,apply direct,2,1,0.6931471805599453,0.6931471805599453,phone
179,arm launch,1,2,-0.6931471805599453,0.6931471805599453,product
37,ask get,2,1,0.6931471805599453,0.6931471805599453,phone
63,ask outsid,2,1,0.6931471805599453,0.6931471805599453,phone
239,athlet sho,1,2,-0.6931471805599453,0.6931471805599453,product
110,bank direct,2,1,0.6931471805599453,0.6931471805599453,phone
293,bas chem,1,2,-0.6931471805599453,0.6931471805599453,product
225,bear sampl,1,2,-0.6931471805599453,0.6931471805599453,product
199,best sel,1,2,-0.6931471805599453,0.6931471805599453,product
334,bet fut,1,2,-0.6931471805599453,0.6931471805599453,product
14,boom access,2,1,0.6931471805599453,0.6931471805599453,phone
275,build mat,1,2,-0.6931471805599453,0.6931471805599453,product
207,built company,1,2,-0.6931471805599453,0.6931471805599453,product
149,busy telephon,2,1,0.6931471805599453,0.6931471805599453,phone
142,cal emerg,2,1,0.6931471805599453,0.6931471805599453,phone
62,cal gab,2,1,0.6931471805599453,0.6931471805599453,phone
83,cal party,2,1,0.6931471805599453,0.6931471805599453,phone
5,cal stay,3,1,1.0986122886681098,1.0986122886681098,phone
23,cal switch,2,1,0.6931471805599453,0.6931471805599453,phone
151,cal tip,2,1,0.6931471805599453,0.6931471805599453,phone
13,cam back,3,1,1.0986122886681098,1.0986122886681098,phone
118,cam hospit,2,1,0.6931471805599453,0.6931471805599453,phone
79,cam tear,2,1,0.6931471805599453,0.6931471805599453,phone
234,campbel already,1,2,-0.6931471805599453,0.6931471805599453,product
310,capac zytel,1,2,-0.6931471805599453,0.6931471805599453,product
237,car produc,1,2,-0.6931471805599453,0.6931471805599453,product
180,car truck,1,2,-0.6931471805599453,0.6931471805599453,product
165,certain atla,1,2,-0.6931471805599453,0.6931471805599453,product
272,chevrolet corsic,1,2,-0.6931471805599453,0.6931471805599453,product
289,chick georg,1,2,-0.6931471805599453,0.6931471805599453,product
247,cho softw,1,2,-0.6931471805599453,0.6931471805599453,product
